working_capacity_0,working_capacity_1,working_capacity_2,working_capacity_3,fish_production_capacity_0,fish_production_capacity_1,crop_production_capacity_0,crop_production_capacity_1,crop_production_capacity_2,meat_production_capacity_0,meat_production_capacity_1,biodiversity_0,biodiversity_1,abiotic_resources_0,abiotic_resources_1,water_production_capacity_(drinking_water_&_irrigation_water)_0,water_production_capacity_(drinking_water_&_irrigation_water)_1,water_production_capacity_(drinking_water_&_irrigation_water)_2,Year,Company Name,target
73,24,716.0,445.7999546896239,1,791.0,95,905.0,437.0365710630131,22,48.0,335,418.64977022698787,5.0,902.0,6,12.0,684.0,2018,DKSH HOLDING AG,-3.34%
70,55,116.0,445.7999546896239,1,761.0,93,611.0,437.0365710630131,21,818.0,316,418.64977022698787,4.0,795.0,38,364.0,333.03157793395593,2018,CAPITA PLC,-1.53%
43,64,530.0,445.7999546896239,1,469.0,60,266.0,437.0365710630131,13,633.0,278,418.64977022698787,87.0,64.0,21,22.0,753.0,2018,STANTEC INCORPORATED,-3.55%
44,7,54.0,445.7999546896239,1,50.0,51,330.0,437.0365710630131,11,652.0,195,418.64977022698787,3.0,913.0,20,486.0,333.03157793395593,2018,VIENNA INSURANCE GROUP,-1.19%
39,69,822.0,445.7999546896239,1,11.0,52,644.0,437.0365710630131,12,252.0,181,418.64977022698787,3.0,343.0,21,544.0,333.03157793395593,2018,EXPERIAN PLC,-0.36%
33,0,222.0,445.7999546896239,920,400.9971119806223,42,744.0,437.0365710630131,9,672.0,174,418.64977022698787,5.0,497.0,2,70.0,128.0,2018,WOLTERS KLUWER NV,-0.38%
29,88,221.0,445.7999546896239,1,81.0,39,189.0,437.0365710630131,8,655.0,207,418.64977022698787,5.0,59.0,15,212.0,333.03157793395593,2018,S&P GLOBAL INC,-0.11%
21,83,251.0,445.7999546896239,580,400.9971119806223,28,917.0,437.0365710630131,6,709.0,103,418.64977022698787,2.0,613.0,33,670.0,333.03157793395593,2018,LONDON STOCK EXCHANGE GROUP PLC,-0.25%
20,5,475.0,445.7999546896239,524,400.9971119806223,25,955.0,437.0365710630131,6,3.0,92,418.64977022698787,2.0,612.0,10,556.0,333.03157793395593,2018,HONG KONG EXCHANGES AND CLEARING LIMITED,-0.17%
19,29,323.0,445.7999546896239,456,400.9971119806223,25,638.0,437.0365710630131,5,998.0,83,418.64977022698787,465.0,357.94894756277694,10,547.0,333.03157793395593,2018,RICARDO PLC,-4.28%
16,54,891.0,445.7999546896239,449,400.9971119806223,21,87.0,437.0365710630131,4,678.0,87,418.64977022698787,3.0,601.0,8,223.0,333.03157793395593,2018,BALOISE HOLDING AG,-0.30%
15,74,815.0,445.7999546896239,390,400.9971119806223,20,794.0,437.0365710630131,4,821.0,70,418.64977022698787,1.0,584.0,8,477.0,333.03157793395593,2018,ASX LIMITED,-0.34%
11,78,237.0,445.7999546896239,293,400.9971119806223,11,474.0,437.0365710630131,2,470.0,55,418.64977022698787,2.0,255.0,4,341.0,333.03157793395593,2018,UNIQA INSURANCE GROUP AG,-0.42%
9,24,29.0,445.7999546896239,305,400.9971119806223,11,70.0,437.0365710630131,2,243.0,63,418.64977022698787,4.0,759.0,3,943.0,333.03157793395593,2018,HELVETIA HOLDING AG,-0.17%
8,73,687.0,445.7999546896239,198,400.9971119806223,11,509.0,437.0365710630131,2,683.0,36,418.64977022698787,881.0,357.94894756277694,4,718.0,333.03157793395593,2018,JSE LIMITED,
8,51,660.0,445.7999546896239,262,400.9971119806223,10,186.0,437.0365710630131,2,180.0,56,418.64977022698787,4.0,530.0,3,832.0,333.03157793395593,2018,AF POYRY AB,-0.64%
7,29,603.0,445.7999546896239,225,400.9971119806223,9,617.0,437.0365710630131,2,204.0,39,418.64977022698787,1.0,897.0,3,874.0,333.03157793395593,2018,PAGEGROUP PLC,-0.41%
7,17,866.0,445.7999546896239,169,400.9971119806223,9,291.0,437.0365710630131,2,166.0,31,418.64977022698787,181.0,357.94894756277694,9,801.0,333.03157793395593,2018,BURSA MALAYSIA BHD,-1.08%
4,16,898.0,445.7999546896239,113,400.9971119806223,5,570.0,437.0365710630131,1,280.0,21,418.64977022698787,366.0,357.94894756277694,2,250.0,333.03157793395593,2018,ASSYSTEM SA,-1.44%
3,32,934.0,445.7999546896239,125,400.9971119806223,4,454.0,437.0365710630131,986,280.59339193219273,22,418.64977022698787,903.0,357.94894756277694,1,734.0,333.03157793395593,2018,JAPAN EXCHANGE GROUP INC,-0.05%
2,7,350.0,445.7999546896239,80,400.9971119806223,2,432.0,437.0365710630131,547,280.59339193219273,13,418.64977022698787,706.0,357.94894756277694,1,424.0,333.03157793395593,2018,BOLSAS Y MERCADOS ESPANOLES SHMSF SA,-0.11%
2,0,838.0,445.7999546896239,62,400.9971119806223,2,590.0,437.0365710630131,578,280.59339193219273,11,418.64977022698787,852.0,357.94894756277694,1,17.0,333.03157793395593,2018,MCMILLAN SHAKESPEARE LTD,-0.21%
1,37,340.0,445.7999546896239,55,400.9971119806223,3,246.0,437.0365710630131,763,280.59339193219273,10,418.64977022698787,920.0,357.94894756277694,1,342.0,333.03157793395593,2018,B3 SA BRASIL BOLSA BALCAO,0.02%
28,70,797.0,445.7999546896239,8,400.9971119806223,39,166.0,437.0365710630131,9,762.0,18,418.64977022698787,21.0,521.0,17,170.0,333.03157793395593,2018,AVIVA PLC,
47,7,51.0,681.0,1,17.0,62,77.0,263.0,14,65.0,21,77.0,613.0,357.94894756277694,5,24.0,77.0,2018,MYTILINEOS HOLDINGS S.A.,-2573.65%
2,63,95.0,67.0,7,59.0,3,32.0,49.0,78,34.0,1,12.0,18.0,15.0,96,89.0,81.0,2018,SEMBCORP INDUSTRIES LIMITED,-971.82%
1,26,68.0,56.0,2,55.0,1,25.0,39.0,29,7.0,44,438.0,27.0,13.0,18,48.0,52.0,2018,ENKA INSAAT VE SANAYI A.S.,-267.38%
74,70,89.0,244.0,1,70.0,99,97.0,206.0,23,3.0,31,226.0,33.0,282.0,22,72.0,69.0,2018,3M COMPANY,-14.82%
92,80,84.0,957.0,2,7.0,1,18.0,91.0,27,85.0,37,530.0,11.0,8.0,3,16.0,20.0,2018,AYALA CORPORATION,-103.45%
48,51,62.0,156.0,1,11.0,64,52.0,143.0,15,12.0,20,226.0,3.0,727.0,17,15.0,46.0,2018,ALFA SAB DE CV,-47.25%
30,34,63.0,986.0,66,79.0,37,28.0,875.0,8,72.0,11,884.0,7.0,54.0,50,69.0,127.0,2018,ABOITIZ EQUITY VENTURES INC.,-42.05%
28,12,29.0,293.0,66,290.0,36,92.0,836.0,8,61.0,12,122.0,42.0,462.0,15,15.0,489.0,2018,HONEYWELL INTERNATIONAL INCORPORATED,-4.60%
19,88,3.0,490.0,49,382.0,26,12.0,893.0,6,3.0,8,976.0,3.0,53.0,3,19.0,35.0,2018,FAR EASTERN NEW CENTURY CORPORATION,-48.52%
8,17,23.0,275.0,36,563.0,10,56.0,910.0,2,40.0,5,180.0,4.0,106.0,14,57.0,44.0,2018,EURAZEO SE,
9,27,29.0,687.0,20,134.0,11,69.0,749.0,2,69.0,3,658.0,2.0,75.0,13,42.0,31.0,2018,REMGRO LIMITED,-260.31%
17,23,3.0,283.0,42,186.0,22,4.0,934.0,5,5.0,7,170.0,6.0,2.0,1,64.0,93.0,2018,SIEMENS AG,-2.34%
17,7,20.0,652.0,34,964.0,18,93.0,282.0,4,42.0,6,189.0,9.0,26.0,33,51.0,917.0,2018,KEPPEL CORPORATION LIMITED,-39.82%
14,25,33.0,557.0,32,489.0,18,83.0,503.0,4,41.0,5,925.0,88.0,12.0,64,23.0,76.0,2018,TOSHIBA CORPORATION,-25.93%
5,47,28.0,510.0,11,696.0,6,79.0,276.0,1,55.0,2,124.0,2.0,10.0,8,81.0,72.0,2018,HOSKEN CONSOLIDATED INVESTMENTS LIMITED,-42.38%
11,75,31.0,943.0,26,86.0,15,16.0,209.0,3,52.0,4,743.0,2.0,3.0,6,19.0,69.0,2018,KAP INDUSTRIAL HOLDINGS LTD,-75.95%
6,99,61.0,106.0,18,132.0,9,30.0,189.0,2,16.0,3,187.0,12.0,373.0,3,80.0,569.0,2018,NISSHINBO HOLDINGS INCORPORATED,
67,68,329.0,445.7999546896239,1,574.0,89,594.0,437.0365710630131,20,894.0,313,418.64977022698787,497.0,357.94894756277694,4,43.0,13.0,2018,AAMAL CO QPSC,-55.23%
4,45,25.0,643.0,10,858.0,5,90.0,315.0,1,36.0,1,955.0,44.0,592.0,2,39.0,693.0,2018,RHEINMETALL AG,-9.68%
4,35,33.0,518.0,9,690.0,5,54.0,413.0,1,29.0,1,752.0,60.0,329.0,10,79.0,573.0,2018,AITKEN SPENCE & CO. LTD.,-127.82%
2,27,80.0,945.0,9,51.0,2,78.0,638.0,60,528.0,1,496.0,2.0,79.0,1,6.0,403.0,2018,SAMSUNG C&T CORP,-2.46%
2,15,6.0,880.0,4,862.0,2,70.0,587.0,61,843.0,898,418.64977022698787,1.0,62.0,12,21.0,404.0,2018,DOOSAN CORP,-2.13%
85,70,103.0,445.7999546896239,1,598.0,92,559.0,437.0365710630131,20,144.0,289,418.64977022698787,92.0,960.0,40,71.0,977.0,2018,REUNERT LTD,-13.24%
73,60,259.0,445.7999546896239,1,847.0,98,112.0,437.0365710630131,22,745.0,331,418.64977022698787,4.0,258.0,39,995.0,333.03157793395593,2018,SMITHS GROUP PLC,-1.15%
24,55,555.0,445.7999546896239,543,400.9971119806223,31,566.0,437.0365710630131,7,394.0,99,418.64977022698787,493.0,357.94894756277694,24,70.0,88.0,2018,BALMER LAWRIE AND COMPANY LTD,-17.04%
4,74,16.0,38.0,11,41.0,6,13.0,2.0,1,38.0,2,15.0,21.0,32.0,2,45.0,65.0,2018,AMERICAN AIRLINES GROUP INC,-140.45%
4,15,23.0,11.0,9,17.0,5,20.0,87.0,1,21.0,1,72.0,21.0,27.0,2,12.0,87.0,2018,DELTA AIR LINES INC,-81.38%
3,97,93.0,26.0,9,37.0,5,11.0,90.0,1,15.0,1,77.0,19.0,77.0,2,5.0,53.0,2018,UNITED CONTINENTAL HOLDINGS INCORPORATED,-107.57%
3,20,18.0,41.0,7,98.0,4,0.0,66.0,93,15.0,1,40.0,12.0,53.0,1,64.0,14.0,2018,AIR FRANCE KLM SA,-211.85%
2,50,60.0,74.0,5,49.0,3,22.0,34.0,73,30.0,1,3.0,10.0,51.0,1,29.0,50.0,2018,SOUTHWEST AIRLINES CO.,-80.48%
2,28,59.0,89.0,13,9.0,3,41.0,54.0,70,44.0,2,62.0,97.0,752.0,1,23.0,94.0,2018,DEUTSCHE LUFTHANSA AG,-109.95%
1,25,93.0,26.0,3,23.0,1,67.0,24.0,38,37.0,60,728.0,83.0,339.0,67,46.0,731.0,2018,ANA HOLDINGS INC,-85.82%
80,32,71.0,258.0,5,39.0,1,18.0,81.0,23,53.0,1,7.0,3.0,73.0,41,77.0,607.0,2018,KOREAN AIR LINES COMPANY LIMITED,-142.57%
73,95,67.0,554.0,1,70.0,96,87.0,926.0,22,9.0,32,324.0,73.0,714.0,38,92.0,713.0,2018,EVA AIRWAYS CORP,-260.18%
58,27,16.0,821.0,1,88.0,78,11.0,790.0,17,60.0,36,161.0,1.0,90.0,42,47.0,436.0,2018,NORWEGIAN AIR SHUTTLE ASA,
33,16,90.0,381.0,1,66.0,49,2.0,324.0,10,48.0,33,66.0,86.52003377341111,357.94894756277694,18,44.0,181.0,2018,SAS AB,-117.18%
2,10,97.0,483.0,5,455.0,2,76.0,281.0,64,938.0,897,418.64977022698787,86.52003377341111,357.94894756277694,1,14.0,197.0,2018,SINOTRANS LTD,-6.63%
1,38,84.0,49.0,14,4.0,1,29.0,97.0,54,84.0,2,99.0,31.0,33.0,96,73.0,322.0,2018,FEDEX CORPORATION,27.14%
3,3,29.0,47.0,6,99.0,4,2.0,85.0,94,36.0,1,27.0,4.0,80.0,68,88.0,11.0,2018,"AIR PRODUCTS AND CHEMICALS,INC. ",-196.97%
3,6,23.0,6.0,7,37.0,4,4.0,87.0,94,73.0,1,31.0,10.0,0.0,7,54.0,72.0,2018,AIR LIQUIDE,-85.45%
2,75,39.0,18.0,6,41.0,3,66.0,15.0,85,66.0,1,16.0,3.0,11.0,28,12.0,28.0,2018,LINDE PLC,-119.29%
79,4,75.0,470.0,1,71.0,97,99.0,700.0,22,90.0,31,315.0,56.0,29.0,2,89.0,55.0,2018,COVESTRO AG,-29.44%
51,87,41.0,269.0,1,27.0,72,28.0,694.0,14,90.0,22,867.0,9.0,93.0,25,46.0,26.0,2018,KIMBERLY-CLARK CORPORATION,-35.14%
57,14,85.0,263.0,1,31.0,70,16.0,313.0,16,13.0,24,192.0,35.0,93.0,17,82.0,83.0,2018,PROCTER & GAMBLE CO,-5.16%
63,67,83.0,260.0,1,95.0,87,79.0,55.0,19,59.0,36,659.0,3.0,75.0,3,55.0,64.0,2018,TOKUYAMA CORPORATION,-181.69%
60,15,5.0,281.0,1,38.0,77,26.0,385.0,18,3.0,25,192.0,17.0,59.0,1,66.0,15.0,2018,SHIN-ETSU CHEMICAL CO LIMITED,-20.51%
38,61,33.0,280.0,85,719.0,48,88.0,176.0,11,25.0,15,615.0,21.0,12.0,20,12.0,42.0,2018,DONGYUE GROUP LIMITED,-127.50%
48,31,30.0,341.0,1,21.0,65,24.0,759.0,14,25.0,21,125.0,7.0,88.0,1,38.0,75.0,2018,TAIYO NIPPON SANSO CORPORATION,-103.37%
31,45,59.0,142.0,79,533.0,39,79.0,691.0,9,16.0,14,250.0,19.0,17.0,11,17.0,5.0,2018,WACKER CHEMIE AG,-169.34%
24,65,20.0,622.0,48,211.0,28,45.0,711.0,6,35.0,8,838.0,36.0,7.0,15,88.0,78.0,2018,HENGAN INTERNATIONAL GROUP COMPANY LTD,-55.03%
30,61,72.0,975.0,82,952.0,40,26.0,361.0,9,19.0,14,45.0,3.0,84.0,2,30.0,85.0,2018,CELANESE CORPORATION,-25.14%
11,30,18.0,393.0,31,450.0,15,54.0,469.0,3,22.0,5,236.0,2.0,1.0,19,62.0,17.0,2018,ASHLAND GLOBAL HOLDINGS INC,-89.21%
20,19,78.0,173.0,45,120.0,28,21.0,84.0,5,44.0,8,61.0,9.0,19.0,2,17.0,22.0,2018,AIR WATER INCORPORATED,-59.01%
7,60,6.0,173.0,20,88.0,10,35.0,661.0,2,22.0,3,420.0,97.0,189.0,13,22.0,96.0,2018,MINERALS TECHNOLOGIES INC.,-80.61%
10,85,78.0,853.0,27,946.0,13,70.0,925.0,2,94.0,5,288.0,8.0,26.0,9,61.0,9.0,2018,"PPG INDUSTRIES,INC. ",-11.13%
10,4,2.0,881.0,26,243.0,13,34.0,281.0,3,5.0,4,758.0,7.0,304.0,6,13.0,29.0,2018,CLARIANT AG,-28.56%
9,52,8.0,618.0,20,837.0,12,99.0,940.0,2,84.0,3,844.0,1.0,3.0,6,21.0,72.0,2018,W. R. GRACE & CO,-40.07%
13,99,83.0,766.0,29,821.0,15,53.0,542.0,3,61.0,5,401.0,18.0,40.0,99,26.0,859.0,2018,KAO CORP,-8.44%
7,24,64.0,472.0,18,619.0,9,64.0,714.0,2,19.0,3,409.0,1.0,8.0,7,80.0,7.0,2018,KRATON CORP,-60.97%
14,21,65.0,838.0,30,535.0,19,57.0,310.0,4,8.0,5,700.0,3.0,93.0,59,46.0,901.0,2018,NIPPON SHOKUBAI COMPANY LIMITED,-62.32%
10,32,15.0,0.0,20,268.0,13,45.0,832.0,2,69.0,3,824.0,6.0,97.0,3,51.0,7.0,2018,KIMBERLY-CLARK DE MEXICO S.A.B. DE C.V.,-36.81%
10,16,95.0,975.0,37,674.0,13,35.0,796.0,2,78.0,5,10.0,1.0,81.0,3,6.0,15.0,2018,ALBEMARLE CORPORATION,-19.13%
10,76,82.0,438.0,22,704.0,13,13.0,117.0,2,99.0,4,151.0,8.0,16.0,42,3.0,204.0,2018,HITACHI CHEMICAL CO LTD,-30.18%
10,20,66.0,431.0,33,374.0,11,31.0,536.0,2,53.0,4,236.0,10.0,44.0,20,85.0,92.0,2018,NITTO DENKO CORPORATION,-9.75%
8,33,50.0,996.0,17,64.0,9,52.0,385.0,2,18.0,3,140.0,9.0,83.0,1,83.0,84.0,2018,DIC CORPORATION,-23.56%
3,58,72.0,318.0,7,826.0,5,1.0,492.0,1,3.0,1,454.0,45.0,278.0,5,11.0,73.0,2018,AKZO NOBEL INDIA LIMITED,-251.62%
6,59,87.0,286.0,22,298.0,8,2.0,355.0,1,67.0,2,991.0,6.0,39.0,1,85.0,61.0,2018,AECI LIMITED,-62.02%
6,12,68.0,822.0,14,243.0,7,23.0,55.0,1,66.0,2,624.0,3.0,75.0,16,94.0,294.0,2018,JOHNSON MATTHEY PUBLIC LIMITED COMPANY,-9.96%
5,21,64.0,139.0,13,799.0,6,74.0,247.0,1,52.0,2,234.0,1.0,65.0,49,71.0,27.0,2018,AFRICAN OXYGEN LTD,-118.99%
4,42,79.0,528.0,9,158.0,6,21.0,498.0,1,20.0,1,726.0,1.0,97.0,84,43.0,295.0,2018,SANYO CHEMICAL INDUSTRIES LIMITED,-49.08%
4,62,45.0,309.0,26,581.0,6,52.0,447.0,43,585.0,2,649.0,12.0,14.0,41,75.0,226.0,2018,SYMRISE AG,-11.74%
3,82,10.0,474.0,9,105.0,5,15.0,121.0,1,15.0,1,608.0,12.0,908.0,1,12.0,42.0,2018,ELEMENTIS PLC,-56.64%
2,90,33.0,873.0,8,337.0,4,1.0,696.0,81,625.0,1,370.0,60.0,950.0,1,70.0,48.0,2018,INGEVITY CORP,-17.74%
3,78,5.0,643.0,7,897.0,4,70.0,542.0,1,4.0,1,459.0,2.0,52.0,44,68.0,405.0,2018,AXALTA COATING SYSTEMS LTD,-7.13%
3,43,51.0,620.0,8,857.0,4,47.0,528.0,1,3.0,1,540.0,43.0,99.0,33,46.0,534.0,2018,SYNTHOMER PLC,-23.98%
2,71,20.0,535.0,5,691.0,3,21.0,119.0,74,767.0,1,43.0,2.0,13.0,69,36.0,663.0,2018,INTERNATIONAL FLAVORS & FRAGRANCES INCORPORATED,-5.90%
2,92,25.0,788.0,7,521.0,3,79.0,364.0,85,968.0,1,250.0,1.0,8.0,1,51.0,174.0,2018,SWANCOR HOLDING CO LTD,-338.95%
2,38,65.0,404.0,6,999.0,3,5.0,620.0,69,909.0,1,107.0,36.0,922.0,28,17.0,240.0,2018,CRODA INTERNATIONAL PLC,-6.32%
1,79,52.0,935.0,5,691.0,2,38.0,639.0,50,760.0,830,418.64977022698787,18.0,833.0,88,23.0,561.0,2018,ASALEO CARE LTD,-60.51%
1,68,34.0,49.0,4,369.0,2,45.0,738.0,47,561.0,730,418.64977022698787,2.0,867.0,46,66.0,844.0,2018,SUOMINEN OYJ,-893.54%
99,24,203.0,445.7999546896239,4,125.0,1,13.0,971.0,12,571.0,485,418.64977022698787,1.0,63.0,1,4.0,7.0,2018,GODREJ CONSUMER PRODUCTS LTD,-7.38%
1,95,53.0,990.0,4,460.0,2,50.0,132.0,55,544.0,831,418.64977022698787,6.0,95.0,5,4.0,695.0,2018,GIVAUDAN SA,-2.36%
1,79,47.0,757.0,11,824.0,4,77.0,910.0,4,622.0,901,418.64977022698787,30.0,449.0,2,15.0,882.0,2018,ONTEX GROUP NV,-9.34%
1,12,0.0,399.0,3,718.0,1,36.0,72.0,27,793.0,513,418.64977022698787,1.0,50.0,48,880.0,333.03157793395593,2018,CHINA STEEL CHEMICAL CORPORATION,-19.93%
38,15,310.0,445.7999546896239,2,64.0,39,170.0,437.0365710630131,95,280.59339193219273,205,418.64977022698787,1.0,5.0,27,53.0,953.0,2018,MARICO LIMITED,-4.44%
48,6,585.0,445.7999546896239,1,622.0,73,792.0,437.0365710630131,10,415.0,226,418.64977022698787,18.0,364.0,5,65.0,525.0,2018,MCBRIDE PLC,-11.83%
45,67,846.0,445.7999546896239,1,292.0,65,413.0,437.0365710630131,12,82.0,202,418.64977022698787,8.0,679.0,3,32.0,135.0,2018,VICTREX PLC,-3.08%
38,44,0.0,445.7999546896239,758,400.9971119806223,47,782.0,437.0365710630131,9,277.0,135,418.64977022698787,71.0,93.0,16,312.0,333.03157793395593,2018,SAN FU CHEMICAL CO LTD,-29.57%
32,24,590.0,445.7999546896239,1,640.0,21,528.0,437.0365710630131,4,413.0,130,418.64977022698787,1.0,41.0,7,771.0,333.03157793395593,2018,SHINY CHEMICAL INDUSTRIAL COMPANY LIMITED,-9.90%
21,36,17.0,432.0,48,910.0,28,40.0,930.0,6,66.0,8,899.0,2.0,399.0,11,99.0,472.0,2018,PENNON GROUP PLC,-52.38%
7,53,66.0,663.0,17,169.0,9,95.0,287.0,2,33.0,3,127.0,1.0,147.0,4,9.0,951.0,2018,COMPANIA SANEAMENTO DE MINAS GERAIS,-30.59%
4,59,73.0,643.0,10,585.0,6,11.0,301.0,1,43.0,1,923.0,2.0,910.0,2,86.0,313.0,2018,SEVERN TRENT PLC,-6.94%
3,84,79.0,159.0,11,723.0,4,77.0,330.0,1,0.0,2,288.0,64.0,528.0,1,75.0,884.0,2018,GUANGDONG INVESTMENT LTD.,-5.40%
3,83,3.0,597.0,8,832.0,5,9.0,288.0,1,19.0,1,604.0,2.0,982.0,2,45.0,102.0,2018,UNITED UTILITIES GROUP PLC,-4.76%
28,18,77.0,10.0,63,192.0,36,49.0,849.0,8,53.0,11,583.0,1.0,36.0,3,99.0,32.0,2018,MICROSOFT CORPORATION,-0.93%
26,56,66.0,177.0,64,96.0,35,75.0,250.0,8,17.0,11,595.0,72.0,331.0,94,59.0,712.0,2018,PANASONIC CORPORATION,-8.31%
25,55,91.0,674.0,54,688.0,27,32.0,166.0,6,18.0,11,603.0,10.0,99.0,1,37.0,29.0,2018,LG ELECTRONICS INCORPORATED,-11.27%
15,39,38.0,4.0,35,234.0,20,54.0,507.0,4,74.0,6,452.0,77.0,422.0,1,42.0,172.0,2018,SONY CORPORATION,-2.35%
13,36,15.0,567.0,36,308.0,17,55.0,571.0,3,97.0,6,828.0,98.0,780.0,1,22.0,63.0,2018,INTERNATIONAL BUSINESS MACHINES CORPORATION,-1.30%
12,68,65.0,281.0,29,222.0,16,88.0,268.0,3,93.0,5,332.0,37.0,138.0,20,81.0,58.0,2018,FUJITSU LIMITED,-11.99%
4,86,85.0,706.0,12,104.0,6,52.0,122.0,1,51.0,2,235.0,1.0,378.0,6,88.0,37.0,2018,TATA CONSULTANCY SERVICES LTD,-2.70%
10,58,93.0,268.0,24,400.0,14,9.0,754.0,3,28.0,4,454.0,21.0,995.0,40,14.0,314.0,2018,SHARP CORPORATION,-13.60%
1,40,89.0,145.0,3,232.0,1,87.0,49.0,43,697.0,591,418.64977022698787,789.0,357.94894756277694,4,89.0,88.0,2018,INFOSYS LIMITED,-2.56%
5,55,58.0,837.0,15,584.0,7,28.0,169.0,1,63.0,2,946.0,49.0,434.0,50,53.0,437.0,2018,ORACLE CORPORATION,-0.43%
1,45,77.0,648.0,3,342.0,1,93.0,621.0,45,274.0,611,418.64977022698787,610.0,357.94894756277694,2,57.0,88.0,2018,WIPRO LIMITED,-3.39%
1,39,96.0,415.0,3,205.0,1,86.0,3.0,43,540.0,585,418.64977022698787,344.0,357.94894756277694,1,92.0,0.0,2018,TECH MAHINDRA LIMITED,-6.35%
3,0,10.0,538.0,10,248.0,3,93.0,930.0,89,336.0,1,764.0,75.0,915.0,15,91.0,410.0,2018,SAP SE,-0.45%
2,27,27.0,989.0,5,201.0,3,2.0,279.0,70,859.0,947,418.64977022698787,54.0,357.94894756277694,62,20.0,448.0,2018,NEXTDC LIMITED,-114.28%
2,48,93.0,670.0,6,744.0,3,31.0,832.0,76,280.0,1,199.0,19.0,185.0,6,56.0,991.0,2018,NTT DATA CORPORATION,-2.31%
2,23,96.0,39.0,5,435.0,3,0.0,820.0,68,975.0,982,418.64977022698787,6.0,498.0,12,93.0,999.0,2018,NIKON CORPORATION,-4.95%
1,66,31.0,13.0,4,854.0,2,21.0,253.0,50,265.0,889,418.64977022698787,23.0,814.0,43,9.0,378.0,2018,CAPGEMINI SE,-1.35%
1,69,35.0,706.0,4,141.0,2,23.0,504.0,51,963.0,739,418.64977022698787,13.0,972.0,91,373.0,333.03157793395593,2018,"KINPO ELECTRONICS,INC. ",-29.79%
84,96,268.0,445.7999546896239,2,92.0,1,12.0,474.0,26,76.0,380,418.64977022698787,3.0,759.0,84,18.0,964.0,2018,SKYWORTH DIGITAL HOLDINGS LTD,-23.58%
80,72,381.0,445.7999546896239,2,195.0,1,6.0,56.0,24,8.0,413,418.64977022698787,5.0,999.0,22,19.0,254.0,2018,SYMANTEC CORPORATION,-2.27%
99,19,778.0,445.7999546896239,2,360.0,1,31.0,996.0,30,814.0,427,418.64977022698787,1.0,675.0,54,183.0,333.03157793395593,2018,"FOSTER ELECTRIC COMPANY,LIMITED ",-11.95%
32,94,59.0,445.7999546896239,889,400.9971119806223,44,64.0,437.0365710630131,10,175.0,164,418.64977022698787,2.0,393.0,63,35.0,339.0,2018,AMADEUS IT GROUP SA,-0.58%
71,75,933.0,445.7999546896239,2,294.0,93,1.0,437.0365710630131,20,204.0,442,418.64977022698787,11.0,207.0,13,54.0,109.0,2018,ADOBE INC,-0.30%
60,47,562.0,445.7999546896239,1,379.0,80,263.0,437.0365710630131,18,788.0,251,418.64977022698787,665.0,357.94894756277694,21,19.0,900.0,2018,TRAVELSKY TECHNOLOGY LTD,-2.45%
